# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Wed Apr  3 18:15:55 CEST 2019
# isochrones based on PARSEC release v1.2S + COLIBRI release PR16, as in Marigo et al. 2017
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: DECAM (ABmags)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00015542 7.699 1.7000000477 2.5531582832    1.700  1.217  4.0671  4.672    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.519e-01 2.479e-01 2.893e-05 7.899e-06 7.175e-05 -1.000 1.636e-04 1.728 2.512 2.229 2.566 2.825 2.994 3.060
0.00015542 7.699 1.7355639935 2.5553033352    1.735  1.253  4.0748  4.676    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.519e-01 2.479e-01 2.893e-05 7.899e-06 7.175e-05 -1.000 1.637e-04 1.639 2.447 2.179 2.521 2.783 2.955 3.024
0.00015542 7.699 1.7500000000 2.5561456680    1.749  1.267  4.0779  4.677    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.519e-01 2.479e-01 2.892e-05 7.899e-06 7.175e-05 -1.000 1.636e-04 1.603 2.421 2.159 2.503 2.767 2.940 3.009
0.00015542 7.699 1.7999999523 2.5589430332    1.799  1.316  4.0884  4.683    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.519e-01 2.479e-01 2.893e-05 7.899e-06 7.175e-05 -1.000 1.513e-04 1.481 2.335 2.093 2.443 2.711 2.887 2.959
0.00015542 7.699 1.8499999046 2.5615673065    1.849  1.363  4.0984  4.688    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.520e-01 2.478e-01 2.892e-05 7.898e-06 7.174e-05 -1.000 1.637e-04 1.363 2.253 2.029 2.384 2.655 2.837 2.911
0.00015542 7.699 1.8999998569 2.5640332699    1.900  1.409  4.1080  4.692    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.520e-01 2.478e-01 2.892e-05 7.897e-06 7.173e-05 -1.000 1.637e-04 1.248 2.175 1.966 2.327 2.601 2.787 2.863
0.00015542 7.699 1.9494645596 2.5663301945    1.949  1.453  4.1172  4.696    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.520e-01 2.478e-01 2.892e-05 7.897e-06 7.173e-05 -1.000 1.637e-04 1.138 2.100 1.907 2.273 2.550 2.739 2.817
0.00015542 7.699 1.9500000477 2.5663545132    1.950  1.453  4.1173  4.696    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.520e-01 2.478e-01 2.892e-05 7.897e-06 7.173e-05 -1.000 1.636e-04 1.137 2.099 1.906 2.272 2.549 2.738 2.817
0.00015542 7.699 2.0000000000 2.5685424805    2.001  1.496  4.1262  4.700    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.520e-01 2.478e-01 2.892e-05 7.896e-06 7.173e-05 -1.000 1.636e-04 1.029 2.027 1.848 2.218 2.498 2.691 2.771
0.00015542 7.699 2.0499999523 2.5706083775    2.050  1.538  4.1347  4.703    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.521e-01 2.478e-01 2.892e-05 7.896e-06 7.172e-05 -1.000 1.636e-04 0.925 1.957 1.790 2.165 2.448 2.645 2.726
0.00015542 7.699 2.0999999046 2.5725615025    2.100  1.579  4.1429  4.705    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.520e-01 2.478e-01 2.891e-05 7.895e-06 7.172e-05 -1.000 1.637e-04 0.824 1.888 1.734 2.114 2.399 2.599 2.682
0.00015542 7.699 2.1500000954 2.5744106770    2.149  1.618  4.1509  4.708    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.521e-01 2.477e-01 2.891e-05 7.895e-06 7.172e-05 -1.000 1.636e-04 0.725 1.823 1.680 2.063 2.351 2.555 2.639
0.00015542 7.699 2.2000000477 2.5761635303    2.199  1.657  4.1586  4.710    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.521e-01 2.477e-01 2.891e-05 7.894e-06 7.171e-05 -1.000 1.636e-04 0.628 1.758 1.626 2.014 2.304 2.511 2.597
0.00015542 7.699 2.2500000000 2.5778269768    2.249  1.695  4.1661  4.712    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.521e-01 2.477e-01 2.891e-05 7.894e-06 7.171e-05 -1.000 1.636e-04 0.534 1.696 1.574 1.966 2.258 2.468 2.555
0.00015542 7.699 2.2855768204 2.5789597034    2.285  1.721  4.1713  4.713    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.521e-01 2.477e-01 2.891e-05 7.894e-06 7.170e-05 -1.000 1.636e-04 0.468 1.652 1.537 1.932 2.225 2.438 2.525
0.00015542 7.699 2.2999999523 2.5794074535    2.299  1.731  4.1734  4.714    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.521e-01 2.477e-01 2.891e-05 7.894e-06 7.170e-05 -1.000 1.636e-04 0.441 1.634 1.523 1.918 2.212 2.426 2.514
0.00015542 7.699 2.4000000954 2.5823426247    2.400  1.803  4.1872  4.716    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.507e-01 2.491e-01 2.903e-05 7.927e-06 7.200e-05 -1.000 1.636e-04 0.264 1.516 1.423 1.825 2.124 2.342 2.433
0.00015542 7.699 2.5852882862 2.5870971680    2.586  1.926  4.2099  4.716    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.507e-01 2.491e-01 2.903e-05 7.927e-06 7.200e-05 -1.000 1.637e-04 -0.044 1.307 1.244 1.658 1.963 2.190 2.284
0.00015542 7.699 2.5999999046 2.5874414444    2.601  1.935  4.2116  4.716    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.507e-01 2.491e-01 2.903e-05 7.927e-06 7.200e-05 -1.000 1.636e-04 -0.068 1.290 1.230 1.645 1.950 2.178 2.273
0.00015542 7.699 2.7999999523 2.5917119980    2.801  2.057  4.2326  4.710    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.507e-01 2.491e-01 2.903e-05 7.927e-06 7.200e-05 -1.000 1.636e-04 -0.374 1.076 1.044 1.469 1.780 2.015 2.114
0.00015542 7.699 2.8584661484 2.5928311348    2.860  2.091  4.2382  4.708    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.507e-01 2.491e-01 2.903e-05 7.927e-06 7.200e-05 -1.000 1.636e-04 -0.458 1.016 0.991 1.418 1.731 1.968 2.068
0.00015542 7.699 3.0000000000 2.5953342915    3.001  2.171  4.2511  4.700    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.507e-01 2.491e-01 2.903e-05 7.927e-06 7.200e-05 -1.000 1.636e-04 -0.658 0.872 0.864 1.298 1.615 1.856 1.957
0.00015542 7.699 3.0665271282 2.5964195728    3.067  2.207  4.2566  4.696    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.507e-01 2.491e-01 2.903e-05 7.927e-06 7.200e-05 -1.000 1.636e-04 -0.748 0.807 0.806 1.243 1.561 1.804 1.906
0.00015542 7.699 3.2000000477 2.5984411240    3.200  2.278  4.2673  4.687    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.507e-01 2.491e-01 2.903e-05 7.927e-06 7.200e-05 -1.000 1.636e-04 -0.925 0.677 0.690 1.133 1.454 1.700 1.804
0.00015542 7.699 3.2601010799 2.5992894173    3.260  2.308  4.2718  4.682    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.507e-01 2.491e-01 2.903e-05 7.927e-06 7.200e-05 -1.000 1.636e-04 -1.001 0.620 0.639 1.084 1.406 1.654 1.759
0.00015542 7.699 3.4000000954 2.6011312008    3.399  2.378  4.2819  4.671    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.507e-01 2.491e-01 2.903e-05 7.927e-06 7.200e-05 -1.000 1.637e-04 -1.175 0.490 0.522 0.972 1.297 1.548 1.654
